,name
70,24 HR Diltiazem Hydrochloride 120 MG Extended Release Oral Capsule [Dilt]
71,24 HR Diltiazem Hydrochloride 120 MG Extended Release Oral Tablet [Cardizem]
72,24 HR Diltiazem Hydrochloride 180 MG Extended Release Capsule [Cardizem]
73,24 HR Diltiazem Hydrochloride 180 MG Extended Release Oral Capsule
74,24 HR Diltiazem Hydrochloride 180 MG Extended Release Oral Capsule [Cartia]
75,24 HR Diltiazem Hydrochloride 180 MG Extended Release Oral Capsule [Dilt]
76,24 HR Diltiazem Hydrochloride 180 MG Extended Release Oral Capsule [Taztia]
77,24 HR Diltiazem Hydrochloride 180 MG Extended Release Oral Tablet [Cardizem]
78,24 HR Diltiazem Hydrochloride 180 MG Extended Release Oral Tablet [Matzim]
79,24 HR Diltiazem Hydrochloride 240 MG Extended Release Oral Capsule
80,24 HR Diltiazem Hydrochloride 240 MG Extended Release Oral Capsule [Dilt]
81,24 HR Diltiazem Hydrochloride 240 MG Extended Release Oral Capsule [Diltzac]
82,24 HR Diltiazem Hydrochloride 240 MG Extended Release Oral Capsule [Taztia]
83,24 HR Diltiazem Hydrochloride 240 MG Extended Release Oral Tablet [Matzim]
84,24 HR Diltiazem Hydrochloride 300 MG Extended Release Oral Capsule
85,24 HR Diltiazem Hydrochloride 300 MG Extended Release Oral Tablet
86,24 HR Diltiazem Hydrochloride 360 MG Extended Release Oral Capsule
87,24 HR Diltiazem Hydrochloride 360 MG Extended Release Oral Capsule [Cardizem]
88,24 HR Diltiazem Hydrochloride 360 MG Extended Release Oral Capsule [Taztia]
89,24 HR Diltiazem Hydrochloride 360 MG Extended Release Oral Tablet [Cardizem]
90,24 HR Diltiazem Hydrochloride 360 MG Extended Release Oral Tablet [Matzim]
91,24 HR Diltiazem Hydrochloride 420 MG Extended Release Oral Capsule
92,24 HR Divalproex Sodium 250 MG Extended Release Oral Tablet
93,24 HR Divalproex Sodium 500 MG Extended Release Oral Tablet
94,24 HR Divalproex Sodium 500 MG Extended Release Oral Tablet [Depakote]
95,24 HR Etodolac 400 MG Extended Release Oral Tablet
96,24 HR Etodolac 500 MG Extended Release Oral Tablet
97,24 HR Etodolac 600 MG Extended Release Oral Tablet
98,24 HR Felodipine 10 MG Extended Release Oral Tablet
99,24 HR Felodipine 2.5 MG Extended Release Oral Tablet
100,24 HR Felodipine 5 MG Extended Release Oral Tablet
101,24 HR Fexofenadine hydrochloride 180 MG / Pseudoephedrine Hydrochloride 240 MG Extended Release Oral Tablet
102,24 HR Glipizide 10 MG Extended Release Oral Tablet
103,24 HR Glipizide 10 MG Extended Release Tablet
104,24 HR Glipizide 2.5 MG Extended Release Oral Tablet
105,24 HR Glipizide 5 MG Extended Release Oral Tablet
106,24 HR Guanfacine 1 MG Extended Release Oral Tablet
107,24 HR Guanfacine 1 MG Extended Release Oral Tablet [Intuniv]
108,24 HR Guanfacine 2 MG Extended Release Oral Tablet
109,24 HR Guanfacine 2 MG Extended Release Oral Tablet [Intuniv]
110,24 HR Guanfacine 3 MG Extended Release Oral Tablet
111,24 HR Guanfacine 3 MG Extended Release Oral Tablet [Intuniv]
112,24 HR Guanfacine 4 MG Extended Release Oral Tablet
113,24 HR Guanfacine 4 MG Extended Release Oral Tablet [Intuniv]
114,24 HR Isosorbide Mononitrate 120 MG Extended Release Oral Tablet
115,24 HR Isosorbide Mononitrate 30 MG Extended Release Oral Tablet
116,24 HR Isosorbide Mononitrate 60 MG Extended Release Oral Tablet
117,24 HR Isradipine 10 MG Extended Release Tablet [Dynacirc]
118,24 HR Isradipine 5 MG Extended Release Tablet [Dynacirc]
119,24 HR Ketoprofen 200 MG Extended Release Oral Capsule
120,24 HR Levetiracetam 500 MG Extended Release Oral Tablet
121,24 HR Levetiracetam 500 MG Extended Release Oral Tablet [Keppra]
122,24 HR Levetiracetam 750 MG Extended Release Oral Tablet
123,24 HR Memantine hydrochloride 28 MG Extended Release Oral Capsule [Namenda]
124,24 HR Metformin hydrochloride 1000 MG / saxagliptin 2.5 MG Extended Release Oral Tablet [Kombiglyze]
125,24 HR Metformin hydrochloride 1000 MG / sitagliptin 100 MG Extended Release Oral Tablet [Janumet]
126,24 HR Metformin hydrochloride 1000 MG / sitagliptin 50 MG Extended Release Oral Tablet [Janumet]
127,24 HR Metformin hydrochloride 1000 MG Extended Release Oral Tablet
128,24 HR Metformin hydrochloride 1000 MG Extended Release Oral Tablet [Fortamet]
129,24 HR Metformin hydrochloride 1000 MG Extended Release Oral Tablet [Glumetza]
130,24 HR Metformin hydrochloride 500 MG Extended Release Oral Tablet
131,24 HR Metformin hydrochloride 500 MG Extended Release Oral Tablet [Glumetza]
132,24 HR Metformin hydrochloride 750 MG Extended Release Oral Tablet
133,24 HR Methylphenidate Hydrochloride 10 MG Extended Release Oral Capsule
134,24 HR Methylphenidate Hydrochloride 20 MG Extended Release Oral Capsule
135,24 HR Methylphenidate Hydrochloride 30 MG Extended Release Oral Capsule
136,24 HR Methylphenidate Hydrochloride 40 MG Extended Release Oral Capsule
137,24 HR Methylphenidate Hydrochloride 50 MG Extended Release Oral Capsule
138,24 HR Methylphenidate Hydrochloride 60 MG Extended Release Oral Capsule
139,24 HR Minocycline 105 MG Extended Release Oral Tablet [Solodyn]
140,24 HR Minocycline 45 MG Extended Release Oral Tablet
141,24 HR Minocycline 55 MG Extended Release Oral Tablet [Solodyn]
142,24 HR Minocycline 65 MG Extended Release Oral Tablet [Solodyn]
143,24 HR Minocycline 90 MG Extended Release Oral Tablet
144,24 HR Minocycline 90 MG Extended Release Oral Tablet [Solodyn]
145,24 HR Naproxen 375 MG Extended Release Oral Tablet [Naprelan]
146,24 HR Naproxen 500 MG Extended Release Oral Tablet [Naprelan]
147,24 HR Niacin 1000 MG / Simvastatin 20 MG Extended Release Oral Tablet [Simcor]
148,24 HR Niacin 1000 MG Extended Release Oral Tablet
149,24 HR Niacin 1000 MG Extended Release Oral Tablet [Niaspan]
150,24 HR Niacin 500 MG / Simvastatin 20 MG Extended Release Oral Tablet [Simcor]
151,24 HR Niacin 500 MG Extended Release Oral Tablet
152,24 HR Niacin 500 MG Extended Release Oral Tablet [Niaspan]
153,24 HR Niacin 750 MG Extended Release Oral Tablet
154,24 HR Nifedipine 30 MG Extended Release Oral Tablet
155,24 HR Nifedipine 30 MG Extended Release Oral Tablet [Adalat]
156,24 HR Nifedipine 30 MG Extended Release Oral Tablet [Afeditab CR]
157,24 HR Nifedipine 30 MG Extended Release Oral Tablet [Nifedical]
158,24 HR Nifedipine 60 MG Extended Release Oral Tablet
159,24 HR Nifedipine 60 MG Extended Release Oral Tablet [Adalat]
160,24 HR Nifedipine 60 MG Extended Release Oral Tablet [Nifedical]
161,24 HR Nifedipine 60 MG Extended Release Tablet
162,24 HR Nifedipine 90 MG Extended Release Oral Tablet
163,24 HR Nifedipine 90 MG Extended Release Oral Tablet [Adalat]
164,24 HR Nifedipine 90 MG Extended Release Oral Tablet [Nifediac]
165,24 HR Nisoldipine 17 MG Extended Release Oral Tablet
166,24 HR Nisoldipine 34 MG Extended Release Oral Tablet
167,24 HR Nisoldipine 34 MG Extended Release Oral Tablet [Sular]
168,24 HR Oxybutynin chloride 10 MG Extended Release Oral Tablet
169,24 HR Oxybutynin chloride 15 MG Extended Release Oral Tablet
170,24 HR Oxybutynin chloride 5 MG Extended Release Oral Tablet
171,24 HR Paroxetine Hydrochloride 12.5 MG Extended Release Oral Tablet
172,24 HR Paroxetine Hydrochloride 25 MG Extended Release Oral Tablet
173,24 HR Paroxetine Hydrochloride 37.5 MG Extended Release Oral Tablet
174,24 HR Propranolol Hydrochloride 120 MG Extended Release Oral Capsule
175,24 HR Propranolol Hydrochloride 120 MG Extended Release Oral Capsule [Inderal]
176,24 HR Propranolol Hydrochloride 120 MG Extended Release Oral Capsule [InnoPran]
177,24 HR Propranolol Hydrochloride 160 MG Extended Release Oral Capsule
178,24 HR Propranolol Hydrochloride 160 MG Extended Release Oral Capsule [Inderal]
179,24 HR Propranolol Hydrochloride 60 MG Extended Release Oral Capsule
180,24 HR Propranolol Hydrochloride 80 MG Extended Release Oral Capsule
181,24 HR Propranolol Hydrochloride 80 MG Extended Release Oral Capsule [InnoPran]
182,24 HR Verapamil hydrochloride 100 MG Extended Release Oral Capsule
183,24 HR Verapamil hydrochloride 120 MG Extended Release Oral Capsule
184,24 HR Verapamil hydrochloride 180 MG Extended Release Oral Capsule
185,24 HR Verapamil hydrochloride 200 MG Extended Release Oral Capsule
186,24 HR Verapamil hydrochloride 240 MG Extended Release Oral Capsule
187,24 HR Verapamil hydrochloride 300 MG Extended Release Oral Capsule
188,24 HR Verapamil hydrochloride 360 MG Extended Release Oral Capsule
189,24 HR carvedilol phosphate 10 MG Extended Release Oral Capsule [Coreg]
190,24 HR carvedilol phosphate 20 MG Extended Release Oral Capsule [Coreg]
191,24 HR carvedilol phosphate 80 MG Extended Release Oral Capsule [Coreg]
192,24 HR darifenacin 15 MG Extended Release Oral Tablet [Enablex]
193,24 HR darifenacin 7.5 MG Extended Release Oral Tablet [Enablex]
194,24 HR desloratadine 5 MG / Pseudoephedrine sulfate 240 MG Extended Release Oral Tablet [Clarinex-D]
195,24 HR dexmethylphenidate hydrochloride 10 MG Extended Release Oral Capsule
196,24 HR dexmethylphenidate hydrochloride 15 MG Extended Release Oral Capsule
197,24 HR dexmethylphenidate hydrochloride 20 MG Extended Release Oral Capsule
198,24 HR dexmethylphenidate hydrochloride 30 MG Extended Release Oral Capsule
199,24 HR dexmethylphenidate hydrochloride 40 MG Extended Release Oral Capsule
200,24 HR dexmethylphenidate hydrochloride 5 MG Extended Release Oral Capsule
201,24 HR fluvastatin 80 MG Extended Release Oral Tablet
202,24 HR fluvastatin 80 MG Extended Release Oral Tablet [Lescol]
203,24 HR gabapentin enacarbil 600 MG Extended Release Tablet [Horizant]
204,24 HR galantamine hydrobromide 16 MG Extended Release Oral Capsule
205,24 HR galantamine hydrobromide 24 MG Extended Release Oral Capsule
206,24 HR galantamine hydrobromide 8 MG Extended Release Oral Capsule
207,24 HR lamotrigine 100 MG Extended Release Oral Tablet
208,24 HR lamotrigine 100 MG Extended Release Oral Tablet [Lamictal]
209,24 HR lamotrigine 200 MG Extended Release Oral Tablet
210,24 HR lamotrigine 300 MG Extended Release Oral Tablet [Lamictal]
211,24 HR lamotrigine 50 MG Extended Release Oral Tablet
212,24 HR lamotrigine 50 MG Extended Release Oral Tablet [Lamictal]
213,24 HR levomilnacipran 20 MG Extended Release Oral Capsule [Fetzima]
214,24 HR levomilnacipran 40 MG Extended Release Oral Capsule [Fetzima]
215,24 HR mesalamine 375 MG Extended Release Oral Capsule [Apriso]
216,24 HR metoprolol succinate 100 MG Extended Release Oral Tablet
217,24 HR metoprolol succinate 100 MG Extended Release Oral Tablet [Toprol]
218,24 HR metoprolol succinate 200 MG Extended Release Oral Tablet
219,24 HR metoprolol succinate 25 MG Extended Release Oral Tablet
220,24 HR metoprolol succinate 25 MG Extended Release Oral Tablet [Toprol]
221,24 HR metoprolol succinate 50 MG Extended Release Oral Tablet
222,24 HR metoprolol succinate 50 MG Extended Release Oral Tablet [Toprol]
223,24 HR mirabegron 25 MG Extended Release Oral Tablet [Myrbetriq]
224,24 HR oxcarbazepine 600 MG Extended Release Oral Tablet [Oxtellar]
225,24 HR paliperidone 1.5 MG Extended Release Oral Tablet [Invega]
226,24 HR paliperidone 3 MG Extended Release Oral Tablet [Invega]
227,24 HR paliperidone 6 MG Extended Release Oral Tablet [Invega]
228,24 HR paliperidone 9 MG Extended Release Oral Tablet [Invega]
229,24 HR phendimetrazine tartrate 105 MG Extended Release Oral Capsule
230,24 HR quetiapine 150 MG Extended Release Oral Tablet [Seroquel]
231,24 HR quetiapine 200 MG Extended Release Oral Tablet [Seroquel]
232,24 HR quetiapine 300 MG Extended Release Oral Tablet [Seroquel]
233,24 HR quetiapine 400 MG Extended Release Oral Tablet [Seroquel]
234,24 HR quetiapine 50 MG Extended Release Oral Tablet [Seroquel]
235,24 HR ropinirole 12 MG Extended Release Oral Tablet [Requip]
236,24 HR ropinirole 2 MG Extended Release Oral Tablet
237,24 HR ropinirole 2 MG Extended Release Tablet [Requip]
238,24 HR ropinirole 4 MG Extended Release Oral Tablet [Requip]
239,24 HR ropinirole 6 MG Extended Release Oral Tablet [Requip]
240,24 HR ropinirole 8 MG Extended Release Oral Tablet [Requip]
241,24 HR tolterodine tartrate 2 MG Extended Release Oral Capsule
242,24 HR tolterodine tartrate 2 MG Extended Release Oral Capsule [Detrol]
243,24 HR tolterodine tartrate 4 MG Extended Release Oral Capsule
244,24 HR tolterodine tartrate 4 MG Extended Release Oral Capsule [Detrol]
245,24 HR topiramate 25 MG Extended Release Oral Capsule [Trokendi]
246,24 HR tramadol hydrochloride 100 MG Extended Release Oral Tablet
247,24 HR tramadol hydrochloride 200 MG Extended Release Oral Tablet
248,24 HR trandolapril 4 MG / Verapamil hydrochloride 240 MG Extended Release Oral Tablet
249,24 HR trandolapril 4 MG / Verapamil hydrochloride 240 MG Extended Release Oral Tablet [Tarka]
250,24 HR trospium chloride 60 MG Extended Release Capsule [Sanctura]
251,24 HR trospium chloride 60 MG Extended Release Oral Capsule
252,24 HR venlafaxine 150 MG Extended Release Oral Capsule
253,24 HR venlafaxine 150 MG Extended Release Oral Capsule [Effexor]
254,24 HR venlafaxine 150 MG Extended Release Oral Tablet
255,24 HR venlafaxine 225 MG Extended Release Oral Tablet
256,24 HR venlafaxine 37.5 MG Extended Release Oral Capsule
257,24 HR venlafaxine 37.5 MG Extended Release Oral Capsule [Effexor]
258,24 HR venlafaxine 37.5 MG Extended Release Oral Tablet
259,24 HR venlafaxine 75 MG Extended Release Oral Capsule
260,24 HR venlafaxine 75 MG Extended Release Oral Capsule [Effexor]
261,24 HR venlafaxine 75 MG Extended Release Oral Tablet
262,8 HR Acetaminophen 650 MG Extended Release Oral Tablet
263,8 HR Carbidopa 23.75 MG / Levodopa 95 MG Extended Release Oral Capsule [Rytary]
264,Acamprosate calcium 333 MG Delayed Release Oral Tablet
265,Acarbose 25 MG Oral Tablet
266,Acarbose 50 MG Oral Tablet
267,Acetaminophen 160 MG Chewable Tablet
268,Acetaminophen 250 MG / Aspirin 250 MG / Caffeine 65 MG Oral Tablet
269,Acetaminophen 300 MG / Codeine Phosphate 15 MG Oral Tablet
270,Acetaminophen 300 MG / Codeine Phosphate 30 MG Oral Tablet
271,Acetaminophen 300 MG / Codeine Phosphate 60 MG Oral Tablet
272,Acetaminophen 300 MG / butalbital 50 MG / Caffeine 40 MG Oral Capsule
273,Acetaminophen 325 MG / Hydrocodone Bitartrate 10 MG Oral Tablet
274,Acetaminophen 325 MG / Hydrocodone Bitartrate 5 MG Oral Tablet
275,Acetaminophen 325 MG / Hydrocodone Bitartrate 5 MG Oral Tablet [Norco]
276,Acetaminophen 325 MG / Hydrocodone Bitartrate 7.5 MG Oral Tablet
277,Acetaminophen 325 MG / Phenylephrine Hydrochloride 5 MG Oral Tablet
278,Acetaminophen 325 MG / butalbital 50 MG / Caffeine 40 MG / Codeine Phosphate 30 MG Oral Capsule
279,Acetaminophen 325 MG / butalbital 50 MG / Caffeine 40 MG Oral Tablet
280,Acetaminophen 325 MG / butalbital 50 MG Oral Tablet
281,Acetaminophen 325 MG / tramadol hydrochloride 37.5 MG Oral Tablet
282,Acetaminophen 325 MG / tramadol hydrochloride 37.5 MG Oral Tablet [Ultracet]
283,Acetaminophen 325 MG Oral Tablet
284,Acetaminophen 325 MG Oral Tablet [Mapap]
285,Acetaminophen 325 MG Oral Tablet [Tylenol]
286,Acetaminophen 500 MG / Caffeine 60 MG / Pyrilamine Maleate 15 MG Oral Tablet
287,Acetaminophen 500 MG / Caffeine 65 MG Oral Tablet
288,Acetaminophen 500 MG / Diphenhydramine Hydrochloride 25 MG Oral Tablet
289,Acetaminophen 500 MG / Hydrocodone Bitartrate 2.5 MG Oral Tablet
290,Acetaminophen 500 MG / Hydrocodone Bitartrate 5 MG Oral Tablet
291,Acetaminophen 500 MG / Hydrocodone Bitartrate 7.5 MG Oral Tablet
292,Acetaminophen 500 MG / Oxycodone Hydrochloride 5 MG Oral Capsule
293,Acetaminophen 500 MG / butalbital 50 MG / Caffeine 40 MG Oral Tablet
294,Acetaminophen 500 MG Oral Tablet
295,Acetaminophen 650 MG / Hydrocodone Bitartrate 10 MG Oral Tablet
296,Acetaminophen 650 MG / butalbital 50 MG Oral Capsule [Phrenilin]
297,Acetaminophen 660 MG / Hydrocodone Bitartrate 10 MG Oral Tablet
298,Acetaminophen 750 MG / Hydrocodone Bitartrate 7.5 MG Oral Tablet
299,Acetaminophen 750 MG / Hydrocodone Bitartrate 7.5 MG Oral Tablet [Vicodin]
300,Acetaminophen 80 MG Chewable Tablet
301,Acetazolamide 125 MG Oral Tablet
302,Acetazolamide 250 MG Oral Tablet
303,Acitretin 10 MG Oral Capsule
304,Acitretin 10 MG Oral Capsule [Soriatane]
305,Acitretin 17.5 MG Oral Capsule
306,Acitretin 17.5 MG Oral Capsule [Soriatane]
307,Acitretin 25 MG Oral Capsule
308,Acitretin 25 MG Oral Capsule [Soriatane]
309,Acyclovir 200 MG Oral Capsule
310,Acyclovir 200 MG Oral Capsule [Zovirax]
311,Acyclovir 400 MG Oral Tablet
312,Acyclovir 400 MG Oral Tablet [Zovirax]
313,Acyclovir 800 MG Oral Tablet
314,Acyclovir 800 MG Oral Tablet [Zovirax]
315,Albuterol 2 MG Oral Tablet
316,Albuterol 4 MG Oral Tablet
317,Alendronic acid 10 MG Oral Tablet
318,Alendronic acid 35 MG Oral Tablet
319,Alendronic acid 40 MG Oral Tablet
320,Alendronic acid 5 MG Oral Tablet
321,Alendronic acid 70 MG Oral Tablet
322,Allopurinol 100 MG Oral Tablet
323,Allopurinol 300 MG Oral Tablet
324,Alprazolam 0.25 MG Oral Tablet
325,Alprazolam 0.5 MG Oral Tablet
326,Alprazolam 0.5 MG Oral Tablet [Xanax]
327,Alprazolam 1 MG Oral Tablet
328,Alprazolam 2 MG Oral Tablet
329,Amantadine Hydrochloride 100 MG Oral Capsule
330,Amiloride Hydrochloride 5 MG / Hydrochlorothiazide 50 MG Oral Tablet
331,Amiloride Hydrochloride 5 MG Oral Tablet
332,Amiodarone hydrochloride 200 MG Oral Tablet
333,Amitriptyline Hydrochloride 10 MG / Perphenazine 2 MG Oral Tablet
334,Amitriptyline Hydrochloride 10 MG Oral Tablet
335,Amitriptyline Hydrochloride 100 MG Oral Tablet
336,Amitriptyline Hydrochloride 150 MG Oral Tablet
337,Amitriptyline Hydrochloride 25 MG / Chlordiazepoxide 10 MG Oral Tablet
338,Amitriptyline Hydrochloride 25 MG / Perphenazine 4 MG Oral Tablet
339,Amitriptyline Hydrochloride 25 MG Oral Tablet
340,Amitriptyline Hydrochloride 50 MG Oral Tablet
341,Amitriptyline Hydrochloride 75 MG Oral Tablet
342,Amlodipine 10 MG / Benazepril hydrochloride 20 MG Oral Capsule
343,Amlodipine 10 MG / Benazepril hydrochloride 40 MG Oral Capsule
344,Amlodipine 10 MG / Benazepril hydrochloride 40 MG Oral Capsule [Lotrel]
345,Amlodipine 10 MG / Hydrochlorothiazide 12.5 MG / Olmesartan medoxomil 40 MG Oral Tablet [Tribenzor]
346,Amlodipine 10 MG / Hydrochlorothiazide 12.5 MG / valsartan 160 MG Oral Tablet
347,Amlodipine 10 MG / Hydrochlorothiazide 25 MG / Olmesartan medoxomil 40 MG Oral Tablet [Tribenzor]
348,Amlodipine 10 MG / Hydrochlorothiazide 25 MG / valsartan 160 MG Oral Tablet
349,Amlodipine 10 MG / Hydrochlorothiazide 25 MG / valsartan 320 MG Oral Tablet [Exforge HCT]
350,Amlodipine 10 MG / Olmesartan medoxomil 20 MG Oral Tablet [Azor]
351,Amlodipine 10 MG / Olmesartan medoxomil 40 MG Oral Tablet [Azor]
352,Amlodipine 10 MG / atorvastatin 20 MG Oral Tablet [Caduet]
353,Amlodipine 10 MG / atorvastatin 40 MG Oral Tablet
354,Amlodipine 10 MG / atorvastatin 80 MG Oral Tablet
355,Amlodipine 10 MG / valsartan 160 MG Oral Tablet
356,Amlodipine 10 MG / valsartan 160 MG Oral Tablet [Exforge]
357,Amlodipine 10 MG / valsartan 320 MG Oral Tablet
358,Amlodipine 10 MG / valsartan 320 MG Oral Tablet [Exforge]
359,Amlodipine 10 MG Oral Tablet
360,Amlodipine 10 MG Oral Tablet [Norvasc]
361,Amlodipine 2.5 MG / Benazepril hydrochloride 10 MG Oral Capsule
362,Amlodipine 2.5 MG / atorvastatin 10 MG Oral Tablet
363,Amlodipine 2.5 MG Oral Tablet
364,Amlodipine 5 MG / Benazepril hydrochloride 10 MG Oral Capsule
365,Amlodipine 5 MG / Benazepril hydrochloride 20 MG Oral Capsule
366,Amlodipine 5 MG / Benazepril hydrochloride 20 MG Oral Capsule [Lotrel]
367,Amlodipine 5 MG / Benazepril hydrochloride 40 MG Oral Capsule
368,Amlodipine 5 MG / Benazepril hydrochloride 40 MG Oral Capsule [Lotrel]
369,Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG / Olmesartan medoxomil 20 MG Oral Tablet [Tribenzor]
370,Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG / Olmesartan medoxomil 40 MG Oral Tablet [Tribenzor]
371,Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG / valsartan 160 MG Oral Tablet
372,Amlodipine 5 MG / Hydrochlorothiazide 25 MG / Olmesartan medoxomil 40 MG Oral Tablet [Tribenzor]
